País,ID Candidato,Género,Carrera Gestional,Avance,Semestres Totales,Postulados Si/No,Evaluados Si/No,Altamente Recomendado,Operaciones-Calidad,MTTO-DIMA,Comercial-Planeamiento,DIGI-SC,Resto-Soft,Apto/No Apto,Destacado Pym,Ingles,Apto,Destacado,Ingresados Si/No
México,20221003,M,Ing. Gestión Empresarial,8,9,,,,,,,,,,,,,,
México,20221004,M,Ing. Gestión Empresarial,8,9,Si,Si,Si,Highly Recommend,Do Not Recommend,Highly Recommend,Highly Recommend,Highly Recommend,Apto,,B1 - Low Intermediate,Apto,,
México,20221002,M,Ing. Gestión Empresarial,8,9,Si,Si,Si,Recommend,Highly Recommend,Do Not Recommend,Recommend,Highly Recommend,Apto,Destacado,B1 - Low Intermediate,Apto,Si,Si
México,20221001,M,Ing. Gestión Empresarial,8,9,,,,,,,,,,,,,,
México,30221001,F,Ing. Tecnologías Computacionales,9,9,,,,,,,,,,,,,,
México,30221002,M,Ing. Tecnologías Computacionales,9,9,,,,,,,,,,,,,,
México,40221003,M,Ing. Tecnologías Computacionales,8,9,,,,,,,,,,,,,,
México,40221001,F,Ing. Tecnologías Computacionales,8,9,,,,,,,,,,,,,,
México,40221002,M,Ing. Tecnologías Computacionales,8,9,,,,,,,,,,,,,,
México,50221001,M,Master en Business Management,,,,,,,,,,,,,,,,
México,50221003,M,Master en Business Management,,,,,,,,,,,,,,,,
México,50221002,F,Master en Business Management,,,,,,,,,,,,,,,,
México,60221001,M,Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,60221002,M,Tecnologías Computacionales,9,10,,,,,,,,,,,,,,
México,60221004,M,Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,60221003,M,Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,70221002,M,Tecnologías Computacionales,10,10,,,,,,,,,,,,,,
México,70221007,M,Ing. Mecatrónica/Electrónica,8,9,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,70221008,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,70221006,F,Ing. Mecatrónica/Electrónica,10,9,,,,,,,,,,,,,,
México,70221009,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,70221005,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,70221011,M,Ing. Mecatrónica/Electrónica,9,9,,,,,,,,,,,,,,
México,70221004,M,Ing. Mecatrónica/Electrónica,9,9,Si,,,,,,,,,,,,,
México,70221003,F,Ing. Mecatrónica/Electrónica,9,9,,,,,,,,,,,,,,
México,70221001,M,Ing. Mecatrónica/Electrónica,9,9,,,,,,,,,,,,,,
México,70221010,F,Ing. Mecatrónica/Electrónica,9,9,,,,,,,,,,,,,,
México,80221001,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,80221002,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,80221003,M,Ing. Mecatrónica/Electrónica,8,9,Si,Si,Si,Highly Recommend,Recommend,Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,80221004,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,80221005,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,80221006,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,90221002,F,Ing. Industrial,6,9,,,,,,,,,,,,,,
México,90221006,M,Ing. Tecnologías Computacionales,8,9,Si,Si,,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,90221003,M,Ing. Mecánica,8,9,,,,,,,,,,,,,,
México,90221004,M,Ing. Física,6,9,,,,,,,,,,,,,,
México,90221005,M,Ing. Industrial,6,9,,,,,,,,,,,,,,
México,90221007,M,Ing. Mecatrónica/Electrónica,7,9,,,,,,,,,,,,,,
México,90221008,F,Ing. Innovación y Desarrollo,6,9,,,,,,,,,,,,,,
México,90221001,M,Ing. Mecatrónica/Electrónica,6,9,,,,,,,,,,,,,,
México,160321009,F,Ing. Nanotecnología,8,9,,,,,,,,,,,,,,
México,160321015,M,Ing. Mecánica,8,9,,,,,,,,,,,,,,
México,160321013,M,Ing. Mecatrónica/Electrónica,7,9,,,,,,,,,,,,,,
México,160321016,M,Ing. Mecatrónica/Electrónica,5,9,,,,,,,,,,,,,,
México,160321007,M,Ing. Mecánica,8,9,Si,Si,,Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,160321001,F,Ing. Química,8,9,,,,,,,,,,,,,,
México,160321002,M,Ing. Mecatrónica/Electrónica,8,9,Si,Si,Si,Do Not Recommend,Recommend,Highly Recommend,Recommend,Recommend,,,,,,
México,160321012,M,Ing. Industrial,8,9,,,,,,,,,,,,,,
México,160321014,M,Ing. Nanotecnología,8,9,,,,,,,,,,,,,,
México,160321008,M,Ing. Industrial,4,9,,,,,,,,,,,,,,
México,160321005,M,Ing. Mecatrónica/Electrónica,8,9,Si,,,,,,,,,,,,,
México,160321010,F,Ing. Logística,8,9,,,,,,,,,,,,,,
México,160321006,F,Ing. Tecnologías Computacionales,7,9,,,,,,,,,,,,,,
México,160321011,F,Economía/Finanzas,8,9,,,,,,,,,,,,,,
México,170321009,M,Ing. Mecatrónica/Electrónica,7,10,,,,,,,,,,,,,,
México,170321005,F,Ing. Materiales,6,10,,,,,,,,,,,,,,
México,170321030,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321149,M,Ing. Mecánica,12,10,Si,,,,,,,,,,,,,
México,170321052,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321007,F,Administración,6,10,Si,Si,,,,,,,,,,,,
México,170321150,F,Ing. Tecnologías Computacionales,12,10,Si,,,,,,,,,,,,,
México,170321061,F,Administración,9,10,,,,,,,,,,,,,,
México,170321098,F,Ing. Industrial,10,10,Si,Si,,Recommend,Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,170321015,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321024,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321086,F,Ing. Química,10,10,,,,,,,,,,,,,,
México,170321023,F,Administración,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,170321068,M,Ing. Mecánica,10,10,Si,Si,Si,Do Not Recommend,Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,,,,,,
México,170321099,M,Ing. Mecánica,10,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Recommend,Recommend,,,B1 - Low Intermediate,,,
México,170321010,F,Ing. Industrial,8,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Highly Recommend,Recommend,Recommend,,,,,,
México,170321041,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321053,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321125,M,Ing. Industrial,10,10,Si,Si,,,,,,,,,,,,
México,170321037,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321022,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321131,F,Ing. Mecánica,11,10,Si,,,,,,,,,,,,,
México,170321035,F,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321048,F,Administración,9,10,,,,,,,,,,,,,,
México,170321049,F,Administración,9,10,,,,,,,,,,,,,,
México,170321120,M,Ing. Mecánica,10,10,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,170321003,M,Ing. Mecatrónica/Electrónica,4,10,,,,,,,,,,,,,,
México,170321038,M,Ing. Materiales,9,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,170321028,M,Ing. Materiales,9,10,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,170321006,F,Ing. Materiales,6,10,,,,,,,,,,,,,,
México,170321027,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321004,M,Maestría en Metalurgia,5,10,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Highly Recommend,Recommend,,,,,,
México,170321013,M,Ing. Materiales,8,10,,,,,,,,,,,,,,
México,170321074,F,Ing. Materiales,10,10,,,,,,,,,,,,,,
México,170321057,F,Administración,9,10,,,,,,,,,,,,,,
México,170321211,F,Ing. Materiales,,,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Apto,Destacado,B2 - High Intermediate,Apto,Si,Si
México,170321119,F,Ing. Materiales,10,10,Si,Si,,,,,,,,,,,,
México,170321071,M,Ing. Mecánica,10,10,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,170321036,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321058,F,Ing. Tecnologías Computacionales,9,10,Si,Si,Si,Do Not Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,,,A1 - Low Beginner,,,
México,170321012,F,Ing. Industrial,8,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,170321017,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321059,F,Administración,9,10,,,,,,,,,,,,,,
México,170321073,M,Ing. Mecánica,10,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Highly Recommend,Highly Recommend,Recommend,,,,,,
México,170321019,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321026,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321114,M,Ing. Mecánica,10,10,Si,Si,,,,,,,,,,,,
México,170321040,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321118,F,Ing. Mecánica,10,10,Si,Si,,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,170321011,F,Ing. Industrial,8,10,,,,,,,,,,,,,,
México,170321126,F,Ing. Industrial,11,10,Si,,,,,,,,,,,,,
México,170321018,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321056,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321060,M,Ing. Mecatrónica/Electrónica,9,10,Si,Si,Si,Do Not Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,Highly Recommend,,,,,,
México,170321020,M,Ing. Mecatrónica/Electrónica,9,10,Si,Si,Si,Do Not Recommend,Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,170321045,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321025,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321034,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321142,M,Ing. Mecánica,11,10,Si,,,,,,,,,,,,,
México,170321080,M,Ing. Materiales,10,10,,,,,,,,,,,,,,
México,170321079,M,Ing. Materiales,10,10,,,,,,,,,,,,,,
México,170321031,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321029,F,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321043,M,Ing. Industrial,9,10,,,,,,,,,,,,,,
México,170321033,M,Ing. Eléctrica,9,10,,,,,,,,,,,,,,
México,170321021,M,Ing. Mecánica,9,10,Si,Si,,,,,,,,,,,,
México,170321008,M,Ing. Mecatrónica/Electrónica,7,10,,,,,,,,,,,,,,
México,170321055,M,Ing. Materiales,9,10,,,,,,,,,,,,,,
México,170321032,F,Ing. Materiales,9,10,Si,Si,Si,Do Not Recommend,Recommend,Do Not Recommend,Highly Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,170321101,M,Ing. Mecatrónica/Electrónica,10,10,Si,Si,Si,Do Not Recommend,Do Not Recommend,Highly Recommend,Recommend,Recommend,,,,,,
México,190321011,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321020,F,Recursos Humanos,6,9,Si,Si,,Recommend,Do Not Recommend,Recommend,Recommend,Do Not Recommend,,,,,,
México,190321012,F,Administración,8,9,,,,,,,,,,,,,,
México,190321005,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321018,M,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321007,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321013,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321002,F,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321008,F,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321014,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321010,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321003,F,Administración,8,9,,,,,,,,,,,,,,
México,190321017,F,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321009,F,Recursos Humanos,8,9,,,,,,,,,,,,,,
México,190321015,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321019,F,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321004,F,Psicología Organizacional,8,9,,,,,,,,,,,,,,
México,190321001,F,Recursos Humanos,6,9,,,,,,,,,,,,,,
México,190321021,M,Administración,9,9,,,,,,,,,,,,,,
México,190321016,F,Administración,8,9,Si,Si,,,,,,,,,,,,
México,200321064,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321027,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321031,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321070,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321017,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321041,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321042,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321032,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321033,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321043,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321074,M,Ing. Tecnologías Computacionales,4,9,Si,Si,,,,,,,,,,,,
México,200321069,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321025,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321015,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321046,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321051,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321019,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321062,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321010,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321020,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321011,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321026,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321008,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321034,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321073,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321005,M,Ing. Tecnologías Computacionales,4,9,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,200321050,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321036,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321018,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321037,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321038,M,Ing. Tecnologías Computacionales,4,9,Si,,,,,,,,,,,,,
México,200321044,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321045,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321047,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321002,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321001,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321021,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321007,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321029,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321028,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321004,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321071,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321068,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321022,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321066,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321013,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321016,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321030,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321063,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321014,M,Ing. Tecnologías Computacionales,4,9,Si,Si,,Do Not Recommend,Do Not Recommend,Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,200321056,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321061,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321067,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321048,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321006,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321057,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321049,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321035,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321052,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321009,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321065,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321023,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321058,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321012,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321053,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321024,M,Ing. Tecnologías Computacionales,4,9,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,200321003,F,Ing. Tecnologías Computacionales,4,9,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,C2 - Mastery,,,
México,200321075,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321054,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321059,M,Ing. Tecnologías Computacionales,4,9,Si,Si,Si,Highly Recommend,Highly Recommend,Do Not Recommend,Highly Recommend,Recommend,,,,,,
México,200321060,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321039,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321072,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321040,F,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,200321055,M,Ing. Tecnologías Computacionales,4,9,,,,,,,,,,,,,,
México,220321003,F,Ing. Innovación y Desarrollo,5,9,,,,,,,,,,,,,,
México,220321017,F,Mercadotecnia,7,9,,,,,,,,,,,,,,
México,220321075,F,Economía/Finanzas,8,9,,,,,,,,,,,,,,
México,220321048,F,Ing. Mecatrónica/Electrónica,10,10,,,,,,,,,,,,,,
México,220321001,F,Ing. Industrial,8,9,Si,Si,Si,Do Not Recommend,Do Not Recommend,Highly Recommend,Highly Recommend,Do Not Recommend,,,A2 - High Beginner,,,
México,220321073,F,Ing. Mecatrónica/Electrónica,10,10,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Apto,Destacado,B1 - Low Intermediate,Apto,Si,Si
México,220321051,M,Ing. Civil,9,9,,,,,,,,,,,,,,
México,220321059,M,Ing. Mecánica,9,9,Si,Si,Si,Do Not Recommend,Do Not Recommend,Highly Recommend,Highly Recommend,Do Not Recommend,,,,,,
México,220321071,F,Ing. Industrial,9,9,Si,Si,Si,Do Not Recommend,Recommend,Highly Recommend,Recommend,Highly Recommend,,,,,,
México,220321019,M,Ing. Tecnologías Computacionales,7,9,,,,,,,,,,,,,,
México,220321018,F,Negocios Internacionales,4,9,,,,,,,,,,,,,,
México,220321076,F,Ing. Industrial,10,10,Si,Si,Si,Highly Recommend,Do Not Recommend,Highly Recommend,Recommend,Do Not Recommend,,,B1 - Low Intermediate,,,
México,220321068,M,Ing. Desarrollo Sustentable,6,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,220321015,M,Ing. Mecatrónica/Electrónica,4,9,,,,,,,,,,,,,,
México,220321024,F,Ing. Tecnologías Computacionales,6,9,,,,,,,,,,,,,,
México,220321012,F,Derecho/Ciencias Políticas,6,9,,,,,,,,,,,,,,
México,220321042,M,Ing. Mecatrónica/Electrónica,7,9,,,,,,,,,,,,,,
México,220321011,F,Ing. Civil,8,9,Si,,,,,,,,,,,,,
México,220321060,M,Administración,8,9,,,,,,,,,,,,,,
México,220321021,M,Economía/Finanzas,7,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,220321006,M,Diseño,8,9,,,,,,,,,,,,,,
México,220321034,M,Administración,7,9,,,,,,,,,,,,,,
México,220321036,M,Ing. Mecatrónica/Electrónica,6,9,,,,,,,,,,,,,,
México,220321045,F,Ing. Civil,8,9,,,,,,,,,,,,,,
México,220321002,M,Ing. Industrial,8,9,,,,,,,,,,,,,,
México,220321020,M,Ing. Desarrollo Sustentable,5,9,,,,,,,,,,,,,,
México,220321055,M,Administración,9,9,Si,Si,Si,Do Not Recommend,Highly Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,C1 - Advanced,,,
México,220321026,F,Ing. Desarrollo Sustentable,6,9,,,,,,,,,,,,,,
México,220321033,M,Ing. Tecnologías Computacionales,8,9,,,,,,,,,,,,,,
México,220321043,M,Negocios Internacionales,4,9,,,,,,,,,,,,,,
México,220321009,M,Ing. Civil,6,9,,,,,,,,,,,,,,
México,220321013,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,220321031,M,Ing. Civil,6,9,Si,,,,,,,,,,,,,
México,220321032,F,Ing. Civil,8,9,Si,,,,,,,,,,,,,
México,220321038,M,Ing. Industrial,9,9,,,,,,,,,,,,,,
México,220321041,M,Ing. Industrial,6,9,,,,,,,,,,,,,,
México,220321037,M,Ing. Mecatrónica/Electrónica,8,9,,,,,,,,,,,,,,
México,220321074,M,Ing. Diseño Automotriz,9,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,,,,,,
México,220321049,M,Ing. Química,9,9,Si,Si,,Do Not Recommend,Do Not Recommend,Do Not Recommend,Do Not Recommend,Recommend,,,,,,
México,220321007,F,Ing. Industrial,8,9,,,,,,,,,,,,,,
México,220321008,F,Negocios Internacionales,8,9,,,,,,,,,,,,,,
México,220321064,F,Ing. Civil,7,9,,,,,,,,,,,,,,
México,220321035,F,Ing. Tecnologías Computacionales,8,9,Si,Si,Si,Do Not Recommend,Highly Recommend,Recommend,Highly Recommend,Recommend,,,B1 - Low Intermediate,,,
México,220321004,M,Ing. Tecnologías Computacionales,6,9,,,,,,,,,,,,,,
México,220321047,M,Ing. Civil,9,9,Si,,,,,,,,,,,,,
México,220321063,F,Ing. Mecatrónica/Electrónica,9,9,Si,Si,,,,,,,,,,,,
México,220321030,M,Administración,8,9,,,,,,,,,,,,,,
México,220321023,M,Administración,7,9,,,,,,,,,,,,,,
México,220321040,M,Ing. Mecatrónica/Electrónica,7,9,Si,,,,,,,,,,,,,
